╳	×
冑	胄
飚	飙
跩	得意
又再	再
仅只	仅
嘴喙	喙
诸于	之于
塑胶	塑料
参杂	掺杂
采出	探出
荧幕	屏幕
彷佛	仿佛
败战	战败
卯足	铆足
通讯	通信
做乎	似乎
座台	基座
随道	隧道
招唤	召唤
叫作	叫做
双亲	父母
妈啦	妈呀
发讯	发信
嘻嬉	嘻嘻
蜂涌	蜂拥
拷贝	复制
结冻	冻结
其它	其他
爆风	气浪
一起同	同
几乎快	快
擅长于	擅长
# TODO: enable and check
# 涉及到	涉及
再重新	重新
首先先	首先
程序码	代码
一、两	一两
安心感	安全感
抛弃式	一次性
厢型车	面包车
新记录	新纪录
贩卖机	售货机
决定于	取决于
恨恨地	愤愤地
四角锥	四棱锥
打手机	打电话
连想到	联想到
反应在	反映在
交互看	交替看
颈链形	项圈式
时间带	时间段
通信录	通讯录
服务生	服务员
记录片	纪录片
众光灯	聚光灯
罗曼蒂克	浪漫
移动电话	手机
几乎已经	几乎
停止不动	停止
生产制造	生产
突然倏地	倏地
完全痊愈	痊愈
射程距离	射程
提出质疑	质疑
心里非常	非常
瓦砾碎片	瓦砾
为了以防	以防
仿佛像是?	仿佛
尝试想要?	尝试
不自主	不由自主
病毒码	病毒代码
自称[是叫]	自称
自称风	自称「风」
中的其中	的其中
为了不想	为了不
冲击力道	冲击力
学校公交车	校车
在心中想道	心想
脱逃(?!走)	逃脱
视窗(?!口)	窗口
除错(?!误)	调试
荷包(?!蛋)	钱包
远距(?!离)	远程
这(?=其[中间])	
在上课中	在上课时
原本上条	上条原本
严格的说	严格地说
尖峰时刻	高峰时刻
莫名所以	莫名其妙
无法置信	难以置信
密不通风	密不透风
度过难关	渡过难关
三千〇一	三千零一
液晶画面	液晶屏幕
不忍卒睹	不忍直视
归根究底	归根结底
死亡关头	生死关头
行动装置	移动设备
电动游戏	电子游戏
甘冒危险	甘愿冒险
不只这些	不止这些
锐不可挡	锐不可当
试着尽可能	尽可能
(?<!函)授与	授予
携带[型式]	便携式
魔[法导]书	魔道书
(?<=[一千])册	本
绞尽(?!脑汁)	用尽
做便当来	做便当带来
响起同时	响起的同时
(?<!不能)自已	自己
防范于?未然	防患未然
奇异笔|马克笔	记号笔
架人造卫星	颗人造卫星
由下往上看	从下往上看
梵蒂冈市国	梵蒂冈城国
不知如何是好	不知所措
(?<!枫)红萝卜	胡萝卜
夏季用薄毛衣	夏季薄毛衣
四轮传动的?汽?车	四驱车
(?<=[圆球角筒人方碟])型	形
四[边角方]形	方形
(?<=[五六多])角形	边形
(?<=\p{Han}), ?	，
(?<=…)\.+	
(?<![…e])…(?!…)	……
只手指(?![向了])	根手指
(?<=[除并]非)是(?!否)	
正因如此，所以	正因如此，
(?<!这幅巨)大画面	大屏幕
(完全|最后|最终)放学	清校
清校时刻	清校时间
(?<!忽)略(?=.一[点些])	
粘着(?=我|上条|少年)	黏着
(?<![不普])及到(?!什么程度)	及
出现(?=[^\n…。？！，]*表情)	露出
(?<=试[图着])想要?(?![想象了一])	
(?<=GPS|电视|上网|灭火|应有|驾驶)机能	功能
排.第(.)名?(?!的白|个的|二位|方人|的，)	排名第\1
(?<=[\d零一二三四五六七八九十百千万亿兆])圆(?![顶周])	元
(?<=理由(，|却不|应该|并不|自然|，多半|，想来只|无他，正|会不会就|，有一种说法|很多，但大半|也很离谱：并不|啊，到头来，该不会)?是)因为	
禁书目录X系列</p>	<ruby>禁书目录X系列<rt>INDEX X</rt></ruby></p>
本书内容由知一一	本书内容由<b>知一一</b>
经以下版本进行整合或修改	基于以下版本整合并修改
(?<=使用(Reasily|图书))观看	阅读
(?<![因「])为什么(?=[^\n…。？！]*的理由)	
(?<=由于(人体的|要连接|集合了|这层关|内部人|透视原理)[^\n…。？！]*)使得	
由于(?!沙龙包|某个她)(?=[^\n…。？！]*使得)	
(?<=(因为|由于)[^\n…。？！]*，)因[此而]	所以
由于(?=[^\n…。？！]*所以)	因为
(?<=(看来|来看，)[^\n…。？！]*|来看(自己)?)似乎	
(?<=(因|由于)[^\n…。？！]*)(?<!特别|机构|良好|丧命|是这样|冲击波|立场上|「暗部」)(之故|所致|的关系|的缘故)	
冷气机	空调
排档杆	挡把
